epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
71,4004.17,1.26007,0.91399,0.00564,0.70498,0.51984,0.61079,0.26948,1.90724,1.65849,0.00833,0.000614,0.000614,0.000614
72,4060.88,1.24347,0.89817,0.00552,0.70672,0.53268,0.61016,0.2689,1.92256,1.60425,0.00835,0.0005942,0.0005942,0.0005942
73,4117.32,1.23322,0.87373,0.00552,0.73346,0.51174,0.60755,0.26125,1.95121,1.61179,0.00851,0.0005744,0.0005744,0.0005744
74,4173.47,1.23576,0.87664,0.00553,0.70387,0.55439,0.61014,0.25936,1.95287,1.61612,0.00865,0.0005546,0.0005546,0.0005546
75,4230.52,1.22943,0.87294,0.00545,0.75448,0.5499,0.62943,0.26439,1.9561,1.57453,0.00865,0.0005348,0.0005348,0.0005348
76,4287.23,1.21602,0.87748,0.00534,0.7134,0.53684,0.61766,0.27116,1.92414,1.61547,0.00837,0.000515,0.000515,0.000515
77,4343.83,1.19614,0.86469,0.00522,0.77099,0.51975,0.62821,0.27343,1.89905,1.63142,0.00838,0.0004952,0.0004952,0.0004952
78,4402.58,1.20075,0.8462,0.00529,0.80669,0.51247,0.62881,0.2699,1.96467,1.61596,0.00854,0.0004754,0.0004754,0.0004754
79,4461.17,1.19907,0.85358,0.0052,0.83746,0.50619,0.62684,0.27175,1.92823,1.63764,0.00834,0.0004556,0.0004556,0.0004556
80,4518.67,1.19088,0.8355,0.00523,0.71726,0.5193,0.61518,0.27122,1.9216,1.63128,0.00837,0.0004358,0.0004358,0.0004358
81,4576.65,1.17759,0.8318,0.00513,0.72951,0.54886,0.61732,0.26284,1.95271,1.64994,0.00859,0.000416,0.000416,0.000416
82,4634.45,1.16749,0.83621,0.00517,0.71838,0.51914,0.59414,0.26105,1.92137,1.66949,0.00845,0.0003962,0.0003962,0.0003962
83,4692.44,1.17649,0.80808,0.00516,0.76775,0.52195,0.6144,0.26717,1.8949,1.64714,0.00821,0.0003764,0.0003764,0.0003764
84,4751.41,1.16463,0.81369,0.00507,0.74895,0.52339,0.60898,0.2644,1.8959,1.70622,0.0081,0.0003566,0.0003566,0.0003566
85,4810.36,1.15556,0.79764,0.00496,0.7251,0.5553,0.63571,0.27591,1.92212,1.62101,0.00829,0.0003368,0.0003368,0.0003368
86,4869.11,1.15241,0.80825,0.00503,0.71928,0.53684,0.61738,0.27167,1.95395,1.58498,0.0085,0.000317,0.000317,0.000317
87,4926.61,1.14876,0.79884,0.00492,0.70392,0.54223,0.61085,0.26411,1.90821,1.69474,0.00834,0.0002972,0.0002972,0.0002972
88,4984.32,1.14122,0.80183,0.00495,0.74658,0.54737,0.61411,0.26275,1.92653,1.64355,0.00845,0.0002774,0.0002774,0.0002774
89,5042.07,1.14843,0.78815,0.00489,0.71328,0.55789,0.63048,0.27513,1.90317,1.6511,0.00827,0.0002576,0.0002576,0.0002576
90,5099.93,1.12748,0.78081,0.00481,0.68744,0.53333,0.60962,0.27011,1.9146,1.66723,0.00828,0.0002378,0.0002378,0.0002378
91,5159.3,1.12691,0.78605,0.00481,0.71595,0.54386,0.61311,0.26985,1.91196,1.6594,0.00832,0.000218,0.000218,0.000218
92,5217.41,1.11499,0.75303,0.00488,0.73004,0.53333,0.61742,0.2609,1.95126,1.66969,0.00855,0.0001982,0.0001982,0.0001982
93,5275.39,1.11635,0.76361,0.00469,0.79313,0.5112,0.62643,0.26844,1.91722,1.65661,0.00831,0.0001784,0.0001784,0.0001784
94,5333.07,1.11364,0.75157,0.00467,0.73739,0.52982,0.62327,0.27036,1.92106,1.65745,0.00828,0.0001586,0.0001586,0.0001586
95,5390.4,1.11578,0.75416,0.00472,0.70544,0.53684,0.61738,0.26824,1.93752,1.67973,0.00828,0.0001388,0.0001388,0.0001388
96,5448.15,1.08862,0.75369,0.00463,0.7104,0.54386,0.62298,0.27313,1.91651,1.6458,0.00823,0.000119,0.000119,0.000119
97,5505.99,1.10174,0.75898,0.0047,0.70234,0.53684,0.61216,0.26512,1.93301,1.68416,0.00834,9.92e-05,9.92e-05,9.92e-05
98,5563.64,1.09532,0.74692,0.00466,0.69002,0.54737,0.61428,0.26508,1.92344,1.67397,0.0083,7.94e-05,7.94e-05,7.94e-05
99,5621.69,1.08047,0.74551,0.00443,0.75748,0.51228,0.62229,0.27055,1.92291,1.67574,0.00831,5.96e-05,5.96e-05,5.96e-05
100,5679.34,1.07844,0.74992,0.00455,0.72968,0.52632,0.62019,0.27356,1.92347,1.67295,0.00828,3.98e-05,3.98e-05,3.98e-05
